Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,5000,8.0,40.0,5.431390245600108,0.0
Mixed Suboptimal,5000,10.6,33.4,6.009516262918814,1.9928443419967772
Mixed Random,5000,8.0,30.066666666666666,5.437961803049794,3.4323391995769272
Epsilon-greedy,5000,11.733333333333333,34.6,7.704049646282204,2.3844735867092948
Boltzmann Softmax: Tau 0.5,5000,8.266666666666667,32.13333333333333,3.6147844564602556,2.099886618254378
Boltzmann Softmax: Tau 1.5,5000,5.0,28.333333333333332,2.7516228977511745,2.919556391613206
Random,5000,4.066666666666666,29.066666666666666,2.5485756993344526,4.113855797644045
