Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,500,11.6,40.0,5.856620185738529,0.0
Mixed Suboptimal,500,13.266666666666667,10.666666666666666,3.918211448145819,12.057402389443276
Mixed Random,500,9.133333333333333,8.133333333333333,2.948768911806772,10.676186228281725
Epsilon-greedy,500,16.2,12.866666666666667,5.017113569716015,16.008331164323987
Boltzmann Softmax: Tau 0.5,500,12.8,2.066666666666667,5.253570214625479,2.1201976547572388
Boltzmann Softmax: Tau 1.5,500,5.4,0.4666666666666667,2.898275349237888,0.7432233529572065
Random,500,4.133333333333334,0.3333333333333333,2.774029216723951,0.48795003647426666
