Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,10000,2.6,40.0,4.219004621945797,0.0
Mixed Suboptimal,10000,8.266666666666667,32.666666666666664,4.97804704487135,2.5260547066428285
Mixed Random,10000,6.066666666666666,31.0,4.199773236508757,4.780914437337574
Epsilon-greedy,10000,9.066666666666666,36.8,6.192929916637273,2.4260491103261463
Boltzmann Softmax: Tau 0.5,10000,5.133333333333334,33.4,3.204163957519444,3.6994208040873486
Boltzmann Softmax: Tau 1.5,10000,4.066666666666666,31.066666666666666,2.6313132697969515,4.682286783592983
Random,10000,3.0,28.866666666666667,3.4226138716316967,4.911599487316685
