Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,25000,2.6,40.0,4.219004621945797,0.0
Mixed Suboptimal,25000,7.466666666666667,34.53333333333333,5.730453318725774,1.9591057240729066
Mixed Random,25000,4.933333333333334,31.133333333333333,4.431489054267791,4.564876256602718
Epsilon-greedy,25000,8.466666666666667,36.8,6.62103430274268,1.6561573424216491
Boltzmann Softmax: Tau 0.5,25000,2.7333333333333334,34.46666666666667,2.3135213317324204,2.386469797679848
Boltzmann Softmax: Tau 1.5,25000,3.4,32.8,2.922816645439317,4.616739727804212
Random,25000,1.6,31.533333333333335,2.02837021134844,5.139019732354003
