Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,200,10.4,38.6,6.024948132556827,1.6733200530681507
Mixed Suboptimal,200,6.8,2.3333333333333335,6.085110634045319,3.2440421581430665
Mixed Random,200,4.933333333333334,1.7333333333333334,5.188815811320491,2.7115274205474953
Epsilon-greedy,200,8.133333333333333,3.466666666666667,6.610237370566816,5.221749387577564
Boltzmann Softmax: Tau 0.5,200,4.333333333333333,0.06666666666666667,3.735288603626359,0.2581988897471611
Boltzmann Softmax: Tau 1.5,200,0.8666666666666667,0.3333333333333333,0.7432233529572065,0.4879500364742666
Random,200,1.1333333333333333,0.13333333333333333,1.4074631010979937,0.35186577527449836
