IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
6.0,13.0,Expert,372,50000,0
9.0,16.0,Mixed Suboptimal,1798,50000,0
4.0,9.0,Mixed Random,2915,50000,0
6.0,14.0,Epsilon-greedy,1276,50000,0
3.0,1.0,Boltzmann Softmax: Tau 0.5,11328,50000,0
1.0,1.0,Boltzmann Softmax: Tau 1.5,11190,50000,0
0.0,1.0,Random,3787,50000,0
9.0,16.0,Mixed Suboptimal,1798,50000,0
5.0,10.0,Mixed Random,2822,50000,0
6.0,14.0,Epsilon-greedy,1276,50000,0
3.0,1.0,Boltzmann Softmax: Tau 0.5,11328,50000,0
1.0,1.0,Boltzmann Softmax: Tau 1.5,11190,50000,0
2.0,3.0,Random,3579,50000,0
5.7,11.5,Expert,372,50000,4219
11.4,11.3,Mixed Suboptimal,1798,50000,4219
5.7,11.4,Mixed Random,2915,50000,4219
11.4,5.7,Epsilon-greedy,1276,50000,4219
5.7,0.0,Boltzmann Softmax: Tau 0.5,11328,50000,4219
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,50000,4219
0.0,0.0,Random,3787,50000,4219
11.4,11.3,Mixed Suboptimal,1798,50000,4219
5.7,5.7,Mixed Random,2822,50000,4219
11.4,5.7,Epsilon-greedy,1276,50000,4219
5.7,0.0,Boltzmann Softmax: Tau 0.5,11328,50000,4219
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,50000,4219
5.7,11.4,Random,3579,50000,4219
6.7,11.2,Expert,372,50000,17333
8.9,15.6,Mixed Suboptimal,1798,50000,17333
0.0,9.0,Mixed Random,2915,50000,17333
0.0,6.7,Epsilon-greedy,1276,50000,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,50000,17333
2.2,0.0,Boltzmann Softmax: Tau 1.5,11190,50000,17333
0.0,2.3,Random,3787,50000,17333
8.9,15.6,Mixed Suboptimal,1798,50000,17333
2.2,6.7,Mixed Random,2822,50000,17333
0.0,6.7,Epsilon-greedy,1276,50000,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,50000,17333
2.2,0.0,Boltzmann Softmax: Tau 1.5,11190,50000,17333
2.2,2.2,Random,3579,50000,17333
9.6,9.6,Expert,372,50000,39779
12.0,18.2,Mixed Suboptimal,1798,50000,39779
3.7,12.2,Mixed Random,2915,50000,39779
4.9,9.9,Epsilon-greedy,1276,50000,39779
2.3,2.4,Boltzmann Softmax: Tau 0.5,11328,50000,39779
1.2,1.2,Boltzmann Softmax: Tau 1.5,11190,50000,39779
3.5,0.0,Random,3787,50000,39779
12.0,18.2,Mixed Suboptimal,1798,50000,39779
6.0,13.4,Mixed Random,2822,50000,39779
4.9,9.9,Epsilon-greedy,1276,50000,39779
2.3,2.4,Boltzmann Softmax: Tau 0.5,11328,50000,39779
1.2,1.2,Boltzmann Softmax: Tau 1.5,11190,50000,39779
2.3,2.5,Random,3579,50000,39779
8.8,9.8,Expert,372,50000,44987
17.1,16.8,Mixed Suboptimal,1798,50000,44987
2.9,12.5,Mixed Random,2915,50000,44987
7.3,15.5,Epsilon-greedy,1276,50000,44987
2.9,4.0,Boltzmann Softmax: Tau 0.5,11328,50000,44987
6.0,2.8,Boltzmann Softmax: Tau 1.5,11190,50000,44987
4.2,2.7,Random,3787,50000,44987
17.1,16.8,Mixed Suboptimal,1798,50000,44987
4.4,11.0,Mixed Random,2822,50000,44987
7.3,15.5,Epsilon-greedy,1276,50000,44987
2.9,4.0,Boltzmann Softmax: Tau 0.5,11328,50000,44987
6.0,2.8,Boltzmann Softmax: Tau 1.5,11190,50000,44987
2.9,2.9,Random,3579,50000,44987
