IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
7.0,17.0,Expert,372,25000,0
8.0,15.0,Mixed Suboptimal,1798,25000,0
2.0,9.0,Mixed Random,2915,25000,0
3.0,12.0,Epsilon-greedy,1276,25000,0
1.0,1.0,Boltzmann Softmax: Tau 0.5,11328,25000,0
1.0,1.0,Boltzmann Softmax: Tau 1.5,11190,25000,0
0.0,0.0,Random,3787,25000,0
8.0,15.0,Mixed Suboptimal,1798,25000,0
7.0,9.0,Mixed Random,2822,25000,0
3.0,12.0,Epsilon-greedy,1276,25000,0
1.0,1.0,Boltzmann Softmax: Tau 0.5,11328,25000,0
1.0,1.0,Boltzmann Softmax: Tau 1.5,11190,25000,0
3.0,3.0,Random,3579,25000,0
5.7,23.0,Expert,372,25000,4219
11.4,5.7,Mixed Suboptimal,1798,25000,4219
5.7,5.7,Mixed Random,2915,25000,4219
5.7,11.4,Epsilon-greedy,1276,25000,4219
11.4,0.0,Boltzmann Softmax: Tau 0.5,11328,25000,4219
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,25000,4219
0.0,0.0,Random,3787,25000,4219
11.4,5.7,Mixed Suboptimal,1798,25000,4219
5.7,11.5,Mixed Random,2822,25000,4219
5.7,11.4,Epsilon-greedy,1276,25000,4219
11.4,0.0,Boltzmann Softmax: Tau 0.5,11328,25000,4219
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,25000,4219
5.7,11.4,Random,3579,25000,4219
4.4,13.4,Expert,372,25000,17333
11.1,15.6,Mixed Suboptimal,1798,25000,17333
0.0,9.0,Mixed Random,2915,25000,17333
6.7,11.1,Epsilon-greedy,1276,25000,17333
0.0,2.2,Boltzmann Softmax: Tau 0.5,11328,25000,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,25000,17333
0.0,2.3,Random,3787,25000,17333
11.1,15.6,Mixed Suboptimal,1798,25000,17333
2.2,6.7,Mixed Random,2822,25000,17333
6.7,11.1,Epsilon-greedy,1276,25000,17333
0.0,2.2,Boltzmann Softmax: Tau 0.5,11328,25000,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,25000,17333
2.2,2.2,Random,3579,25000,17333
9.6,10.8,Expert,372,25000,39779
10.8,18.3,Mixed Suboptimal,1798,25000,39779
3.7,12.1,Mixed Random,2915,25000,39779
6.2,14.7,Epsilon-greedy,1276,25000,39779
2.3,0.0,Boltzmann Softmax: Tau 0.5,11328,25000,39779
1.2,2.5,Boltzmann Softmax: Tau 1.5,11190,25000,39779
2.4,1.2,Random,3787,25000,39779
10.8,18.3,Mixed Suboptimal,1798,25000,39779
7.4,13.7,Mixed Random,2822,25000,39779
6.2,14.7,Epsilon-greedy,1276,25000,39779
2.3,0.0,Boltzmann Softmax: Tau 0.5,11328,25000,39779
1.2,2.5,Boltzmann Softmax: Tau 1.5,11190,25000,39779
4.8,2.5,Random,3579,25000,39779
8.8,14.1,Expert,372,25000,44987
11.6,16.8,Mixed Suboptimal,1798,25000,44987
2.9,12.5,Mixed Random,2915,25000,44987
7.5,17.2,Epsilon-greedy,1276,25000,44987
4.5,4.0,Boltzmann Softmax: Tau 0.5,11328,25000,44987
6.0,1.4,Boltzmann Softmax: Tau 1.5,11190,25000,44987
5.8,2.7,Random,3787,25000,44987
11.6,16.8,Mixed Suboptimal,1798,25000,44987
8.7,14.0,Mixed Random,2822,25000,44987
7.5,17.2,Epsilon-greedy,1276,25000,44987
4.5,4.0,Boltzmann Softmax: Tau 0.5,11328,25000,44987
6.0,1.4,Boltzmann Softmax: Tau 1.5,11190,25000,44987
2.9,4.1,Random,3579,25000,44987
