Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,200,3.8,14.319999999999999,2.2237355957937086,2.87349960849136
Mixed Suboptimal,200,3.5,10.82,2.112397269033981,2.764376562224795
Mixed Random,200,2.91,6.26,2.061525864229913,3.20769907150489
Epsilon-greedy,200,3.8,12.32,2.0965580258021848,3.3727008629748223
Boltzmann Softmax: Tau 0.5,200,0.0,0.2,0.0,0.4216370213557839
Boltzmann Softmax: Tau 1.5,200,0.64,2.1399999999999997,0.8682037651253176,2.1014280858501917
Random,200,1.92,1.53,1.8383567541572436,2.279887911474792
