IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
8.0,16.0,Expert,372,25000,0
9.0,16.0,Mixed Suboptimal,1798,25000,0
3.0,11.0,Mixed Random,2915,25000,0
6.0,13.0,Epsilon-greedy,1276,25000,0
1.0,1.0,Boltzmann Softmax: Tau 0.5,11328,25000,0
2.0,1.0,Boltzmann Softmax: Tau 1.5,11190,25000,0
0.0,0.0,Random,3787,25000,0
9.0,16.0,Mixed Suboptimal,1798,25000,0
7.0,14.0,Mixed Random,2822,25000,0
6.0,13.0,Epsilon-greedy,1276,25000,0
1.0,1.0,Boltzmann Softmax: Tau 0.5,11328,25000,0
2.0,1.0,Boltzmann Softmax: Tau 1.5,11190,25000,0
2.0,5.0,Random,3579,25000,0
11.4,28.5,Expert,372,25000,4219
11.4,22.9,Mixed Suboptimal,1798,25000,4219
0.0,11.4,Mixed Random,2915,25000,4219
11.4,11.4,Epsilon-greedy,1276,25000,4219
5.7,5.7,Boltzmann Softmax: Tau 0.5,11328,25000,4219
11.4,0.0,Boltzmann Softmax: Tau 1.5,11190,25000,4219
5.7,0.0,Random,3787,25000,4219
11.4,22.9,Mixed Suboptimal,1798,25000,4219
5.7,11.4,Mixed Random,2822,25000,4219
11.4,11.4,Epsilon-greedy,1276,25000,4219
5.7,5.7,Boltzmann Softmax: Tau 0.5,11328,25000,4219
11.4,0.0,Boltzmann Softmax: Tau 1.5,11190,25000,4219
5.7,11.4,Random,3579,25000,4219
2.2,13.4,Expert,372,25000,17333
4.4,13.4,Mixed Suboptimal,1798,25000,17333
2.2,15.6,Mixed Random,2915,25000,17333
6.7,17.7,Epsilon-greedy,1276,25000,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,25000,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,25000,17333
2.2,2.3,Random,3787,25000,17333
4.4,13.4,Mixed Suboptimal,1798,25000,17333
6.7,11.2,Mixed Random,2822,25000,17333
6.7,17.7,Epsilon-greedy,1276,25000,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,25000,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,25000,17333
2.2,2.2,Random,3579,25000,17333
9.0,10.5,Expert,372,25000,39779
8.7,17.0,Mixed Suboptimal,1798,25000,39779
1.3,17.9,Mixed Random,2915,25000,39779
10.0,17.1,Epsilon-greedy,1276,25000,39779
2.3,3.8,Boltzmann Softmax: Tau 0.5,11328,25000,39779
2.3,1.2,Boltzmann Softmax: Tau 1.5,11190,25000,39779
1.2,0.0,Random,3787,25000,39779
8.7,17.0,Mixed Suboptimal,1798,25000,39779
4.8,13.4,Mixed Random,2822,25000,39779
10.0,17.1,Epsilon-greedy,1276,25000,39779
2.3,3.8,Boltzmann Softmax: Tau 0.5,11328,25000,39779
2.3,1.2,Boltzmann Softmax: Tau 1.5,11190,25000,39779
4.8,1.2,Random,3579,25000,39779
9.9,17.2,Expert,372,25000,44987
9.9,16.9,Mixed Suboptimal,1798,25000,44987
5.8,8.5,Mixed Random,2915,25000,44987
8.4,17.2,Epsilon-greedy,1276,25000,44987
4.4,1.4,Boltzmann Softmax: Tau 0.5,11328,25000,44987
4.2,2.8,Boltzmann Softmax: Tau 1.5,11190,25000,44987
2.8,1.3,Random,3787,25000,44987
9.9,16.9,Mixed Suboptimal,1798,25000,44987
4.4,18.5,Mixed Random,2822,25000,44987
8.4,17.2,Epsilon-greedy,1276,25000,44987
4.4,1.4,Boltzmann Softmax: Tau 0.5,11328,25000,44987
4.2,2.8,Boltzmann Softmax: Tau 1.5,11190,25000,44987
2.9,4.0,Random,3579,25000,44987
