IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
8.0,13.0,Expert,372,10000,0
8.0,21.0,Mixed Suboptimal,1798,10000,0
3.0,18.0,Mixed Random,2915,10000,0
6.0,18.0,Epsilon-greedy,1276,10000,0
1.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,0
1.0,1.0,Boltzmann Softmax: Tau 1.5,11190,10000,0
0.0,1.0,Random,3787,10000,0
8.0,21.0,Mixed Suboptimal,1798,10000,0
6.0,12.0,Mixed Random,2822,10000,0
6.0,18.0,Epsilon-greedy,1276,10000,0
1.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,0
1.0,1.0,Boltzmann Softmax: Tau 1.5,11190,10000,0
2.0,4.0,Random,3579,10000,0
11.4,17.1,Expert,372,10000,4219
11.4,17.1,Mixed Suboptimal,1798,10000,4219
5.7,11.4,Mixed Random,2915,10000,4219
11.4,17.1,Epsilon-greedy,1276,10000,4219
5.7,5.7,Boltzmann Softmax: Tau 0.5,11328,10000,4219
11.4,5.7,Boltzmann Softmax: Tau 1.5,11190,10000,4219
5.7,0.0,Random,3787,10000,4219
11.4,17.1,Mixed Suboptimal,1798,10000,4219
5.7,11.4,Mixed Random,2822,10000,4219
11.4,17.1,Epsilon-greedy,1276,10000,4219
5.7,5.7,Boltzmann Softmax: Tau 0.5,11328,10000,4219
11.4,5.7,Boltzmann Softmax: Tau 1.5,11190,10000,4219
11.4,11.4,Random,3579,10000,4219
0.0,8.9,Expert,372,10000,17333
0.0,15.6,Mixed Suboptimal,1798,10000,17333
0.0,13.3,Mixed Random,2915,10000,17333
6.7,11.1,Epsilon-greedy,1276,10000,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,17333
2.2,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,17333
2.2,2.3,Random,3787,10000,17333
0.0,15.6,Mixed Suboptimal,1798,10000,17333
8.9,8.9,Mixed Random,2822,10000,17333
6.7,11.1,Epsilon-greedy,1276,10000,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,17333
2.2,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,17333
0.0,4.4,Random,3579,10000,17333
6.4,15.3,Expert,372,10000,39779
9.9,20.5,Mixed Suboptimal,1798,10000,39779
2.5,23.0,Mixed Random,2915,10000,39779
7.6,18.2,Epsilon-greedy,1276,10000,39779
1.2,5.0,Boltzmann Softmax: Tau 0.5,11328,10000,39779
1.2,1.2,Boltzmann Softmax: Tau 1.5,11190,10000,39779
1.2,1.3,Random,3787,10000,39779
9.9,20.5,Mixed Suboptimal,1798,10000,39779
3.6,13.5,Mixed Random,2822,10000,39779
7.6,18.2,Epsilon-greedy,1276,10000,39779
1.2,5.0,Boltzmann Softmax: Tau 0.5,11328,10000,39779
1.2,1.2,Boltzmann Softmax: Tau 1.5,11190,10000,39779
6.1,0.0,Random,3579,10000,39779
7.1,13.1,Expert,372,10000,44987
10.1,15.5,Mixed Suboptimal,1798,10000,44987
4.2,11.3,Mixed Random,2915,10000,44987
8.4,15.7,Epsilon-greedy,1276,10000,44987
2.9,1.4,Boltzmann Softmax: Tau 0.5,11328,10000,44987
2.9,2.8,Boltzmann Softmax: Tau 1.5,11190,10000,44987
5.6,2.9,Random,3787,10000,44987
10.1,15.5,Mixed Suboptimal,1798,10000,44987
2.8,15.7,Mixed Random,2822,10000,44987
8.4,15.7,Epsilon-greedy,1276,10000,44987
2.9,1.4,Boltzmann Softmax: Tau 0.5,11328,10000,44987
2.9,2.8,Boltzmann Softmax: Tau 1.5,11190,10000,44987
2.9,5.8,Random,3579,10000,44987
