IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
4.0,14.0,Expert,372,200,0
4.0,12.0,Mixed Suboptimal,1798,200,0
3.0,8.0,Mixed Random,2915,200,0
4.0,16.0,Epsilon-greedy,1276,200,0
0.0,1.0,Boltzmann Softmax: Tau 0.5,11328,200,0
2.0,1.0,Boltzmann Softmax: Tau 1.5,11190,200,0
0.0,0.0,Random,3787,200,0
4.0,12.0,Mixed Suboptimal,1798,200,0
4.0,8.0,Mixed Random,2822,200,0
4.0,16.0,Epsilon-greedy,1276,200,0
0.0,1.0,Boltzmann Softmax: Tau 0.5,11328,200,0
2.0,1.0,Boltzmann Softmax: Tau 1.5,11190,200,0
2.0,1.0,Random,3579,200,0
5.7,17.2,Expert,372,200,4219
5.7,11.5,Mixed Suboptimal,1798,200,4219
5.7,5.7,Mixed Random,2915,200,4219
5.7,11.4,Epsilon-greedy,1276,200,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,4219
0.0,5.7,Boltzmann Softmax: Tau 1.5,11190,200,4219
0.0,5.7,Random,3787,200,4219
5.7,11.5,Mixed Suboptimal,1798,200,4219
5.7,11.5,Mixed Random,2822,200,4219
5.7,11.4,Epsilon-greedy,1276,200,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,4219
0.0,5.7,Boltzmann Softmax: Tau 1.5,11190,200,4219
5.7,5.7,Random,3579,200,4219
0.0,11.1,Expert,372,200,17333
0.0,6.7,Mixed Suboptimal,1798,200,17333
0.0,0.0,Mixed Random,2915,200,17333
0.0,6.7,Epsilon-greedy,1276,200,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,200,17333
2.3,0.0,Random,3787,200,17333
0.0,6.7,Mixed Suboptimal,1798,200,17333
0.0,2.2,Mixed Random,2822,200,17333
0.0,6.7,Epsilon-greedy,1276,200,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,200,17333
0.0,0.0,Random,3579,200,17333
5.0,12.0,Expert,372,200,39779
5.0,9.4,Mixed Suboptimal,1798,200,39779
2.5,7.1,Mixed Random,2915,200,39779
5.0,14.5,Epsilon-greedy,1276,200,39779
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,39779
1.2,1.2,Boltzmann Softmax: Tau 1.5,11190,200,39779
1.2,0.0,Random,3787,200,39779
5.0,9.4,Mixed Suboptimal,1798,200,39779
2.5,7.3,Mixed Random,2822,200,39779
5.0,14.5,Epsilon-greedy,1276,200,39779
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,39779
1.2,1.2,Boltzmann Softmax: Tau 1.5,11190,200,39779
3.7,0.0,Random,3579,200,39779
4.3,17.3,Expert,372,200,44987
2.8,14.5,Mixed Suboptimal,1798,200,44987
4.3,7.2,Mixed Random,2915,200,44987
4.3,13.0,Epsilon-greedy,1276,200,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,44987
0.0,2.8,Boltzmann Softmax: Tau 1.5,11190,200,44987
1.4,1.5,Random,3787,200,44987
2.8,14.5,Mixed Suboptimal,1798,200,44987
1.4,5.6,Mixed Random,2822,200,44987
4.3,13.0,Epsilon-greedy,1276,200,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,44987
0.0,2.8,Boltzmann Softmax: Tau 1.5,11190,200,44987
2.9,1.4,Random,3579,200,44987
