IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
7.0,11.0,Expert,372,200,0
8.3,17.1,Expert,372,200,44987
5.9,13.3,Expert,372,200,39779
6.6,11.1,Expert,372,200,17333
11.4,17.0,Expert,372,200,4219
8.6,14.0,Mixed Suboptimal,1798,200,44987
6.1,8.4,Mixed Suboptimal,1798,200,39779
6.1,8.4,Mixed Suboptimal,1798,200,39779
4.4,8.8,Mixed Suboptimal,1798,200,17333
8.6,14.0,Mixed Suboptimal,1798,200,44987
11.4,11.4,Mixed Suboptimal,1798,200,4219
11.4,11.4,Mixed Suboptimal,1798,200,4219
4.4,8.8,Mixed Suboptimal,1798,200,17333
7.0,13.0,Mixed Suboptimal,1798,200,0
7.0,13.0,Mixed Suboptimal,1798,200,0
8.8,0.0,Mixed Random,2822,200,17333
7.1,7.0,Mixed Random,2915,200,44987
8.0,9.0,Mixed Random,2822,200,0
9.8,9.5,Mixed Random,2915,200,39779
4.4,0.0,Mixed Random,2915,200,17333
5.7,5.7,Mixed Random,2822,200,4219
9.9,8.4,Mixed Random,2822,200,44987
7.4,5.1,Mixed Random,2822,200,39779
7.0,6.0,Mixed Random,2915,200,0
5.7,11.4,Mixed Random,2915,200,4219
3.6,14.5,Epsilon-greedy,1276,200,39779
4.4,11.1,Epsilon-greedy,1276,200,17333
3.6,14.5,Epsilon-greedy,1276,200,39779
4.0,14.0,Epsilon-greedy,1276,200,0
8.4,9.7,Epsilon-greedy,1276,200,44987
8.4,9.7,Epsilon-greedy,1276,200,44987
4.4,11.1,Epsilon-greedy,1276,200,17333
11.4,11.4,Epsilon-greedy,1276,200,4219
11.4,11.4,Epsilon-greedy,1276,200,4219
4.0,14.0,Epsilon-greedy,1276,200,0
2.4,0.0,Boltzmann Softmax: Tau 0.5,11328,200,39779
0.0,3.0,Boltzmann Softmax: Tau 0.5,11328,200,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,44987
2.4,0.0,Boltzmann Softmax: Tau 0.5,11328,200,39779
0.0,3.0,Boltzmann Softmax: Tau 0.5,11328,200,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,200,4219
2.4,1.3,Boltzmann Softmax: Tau 1.5,11190,200,39779
0.0,5.7,Boltzmann Softmax: Tau 1.5,11190,200,4219
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,200,17333
2.4,1.3,Boltzmann Softmax: Tau 1.5,11190,200,39779
1.0,1.0,Boltzmann Softmax: Tau 1.5,11190,200,0
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,200,17333
0.0,5.7,Boltzmann Softmax: Tau 1.5,11190,200,4219
1.5,2.9,Boltzmann Softmax: Tau 1.5,11190,200,44987
1.5,2.9,Boltzmann Softmax: Tau 1.5,11190,200,44987
1.0,1.0,Boltzmann Softmax: Tau 1.5,11190,200,0
2.8,0.0,Random,3787,200,44987
2.2,0.0,Random,3787,200,17333
1.2,1.3,Random,3787,200,39779
2.2,0.0,Random,3579,200,17333
5.7,0.0,Random,3579,200,4219
0.0,0.0,Random,3787,200,4219
2.0,1.0,Random,3579,200,0
1.0,1.0,Random,3787,200,0
1.2,0.0,Random,3579,200,39779
1.3,0.0,Random,3579,200,44987
