IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
9.0,5.0,Expert,372,100,0
7.1,7.0,Expert,372,100,44987
7.4,4.7,Expert,372,100,39779
2.2,0.0,Expert,372,100,17333
11.4,5.7,Expert,372,100,4219
8.3,2.9,Mixed Suboptimal,1798,100,44987
6.0,4.7,Mixed Suboptimal,1798,100,39779
6.0,4.7,Mixed Suboptimal,1798,100,39779
2.3,0.0,Mixed Suboptimal,1798,100,17333
8.3,2.9,Mixed Suboptimal,1798,100,44987
5.7,5.7,Mixed Suboptimal,1798,100,4219
5.7,5.7,Mixed Suboptimal,1798,100,4219
2.3,0.0,Mixed Suboptimal,1798,100,17333
4.0,3.0,Mixed Suboptimal,1798,100,0
4.0,3.0,Mixed Suboptimal,1798,100,0
6.7,0.0,Mixed Random,2822,100,17333
5.6,0.0,Mixed Random,2915,100,44987
6.0,2.0,Mixed Random,2822,100,0
6.9,1.2,Mixed Random,2915,100,39779
2.2,0.0,Mixed Random,2915,100,17333
5.7,5.7,Mixed Random,2822,100,4219
8.7,2.8,Mixed Random,2822,100,44987
3.6,1.2,Mixed Random,2822,100,39779
6.0,2.0,Mixed Random,2915,100,0
17.0,5.7,Mixed Random,2915,100,4219
3.6,4.7,Epsilon-greedy,1276,100,39779
4.5,0.0,Epsilon-greedy,1276,100,17333
3.6,4.7,Epsilon-greedy,1276,100,39779
6.0,4.0,Epsilon-greedy,1276,100,0
9.8,4.3,Epsilon-greedy,1276,100,44987
9.8,4.3,Epsilon-greedy,1276,100,44987
4.5,0.0,Epsilon-greedy,1276,100,17333
11.4,5.7,Epsilon-greedy,1276,100,4219
11.4,5.7,Epsilon-greedy,1276,100,4219
6.0,4.0,Epsilon-greedy,1276,100,0
1.1,0.0,Boltzmann Softmax: Tau 0.5,11328,100,39779
0.0,1.0,Boltzmann Softmax: Tau 0.5,11328,100,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,44987
1.1,0.0,Boltzmann Softmax: Tau 0.5,11328,100,39779
0.0,1.0,Boltzmann Softmax: Tau 0.5,11328,100,0
0.0,5.7,Boltzmann Softmax: Tau 0.5,11328,100,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,17333
0.0,5.7,Boltzmann Softmax: Tau 0.5,11328,100,4219
2.4,2.4,Boltzmann Softmax: Tau 1.5,11190,100,39779
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,100,4219
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,100,17333
2.4,2.4,Boltzmann Softmax: Tau 1.5,11190,100,39779
1.0,0.0,Boltzmann Softmax: Tau 1.5,11190,100,0
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,100,17333
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,100,4219
1.5,1.4,Boltzmann Softmax: Tau 1.5,11190,100,44987
1.5,1.4,Boltzmann Softmax: Tau 1.5,11190,100,44987
1.0,0.0,Boltzmann Softmax: Tau 1.5,11190,100,0
1.4,2.7,Random,3787,100,44987
0.0,0.0,Random,3787,100,17333
1.3,2.4,Random,3787,100,39779
0.0,0.0,Random,3579,100,17333
11.4,5.7,Random,3579,100,4219
0.0,0.0,Random,3787,100,4219
1.0,1.0,Random,3579,100,0
1.0,1.0,Random,3787,100,0
1.2,1.2,Random,3579,100,39779
2.8,0.0,Random,3579,100,44987
