Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,25000,4.2,13.6,2.7748873851023217,3.0495901363953815
Mixed Suboptimal,25000,5.8,14.266666666666667,4.262795863213317,2.2509257354845507
Mixed Random,25000,5.6,14.666666666666666,3.960519446450716,3.559026084010437
Epsilon-greedy,25000,5.733333333333333,15.066666666666666,3.881580434135903,3.3266599866332394
Boltzmann Softmax: Tau 0.5,25000,3.3333333333333335,12.6,2.870208222079931,2.229670058871619
Boltzmann Softmax: Tau 1.5,25000,3.4,13.4,2.4142434484888695,1.5491933384829668
Random,25000,3.2666666666666666,12.533333333333333,2.086236073022646,2.263583337058639
