Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,500,7.8,11.8,0.44721359549995804,1.0954451150103321
Mixed Suboptimal,500,9.733333333333333,7.933333333333334,3.8072612328599273,6.017434985899208
Mixed Random,500,8.2,7.133333333333334,3.166791977470486,4.611579628139003
Epsilon-greedy,500,10.533333333333333,8.466666666666667,4.068461742769736,7.2984016515033385
Boltzmann Softmax: Tau 0.5,500,9.8,4.2,3.255764119219941,1.4735767952260146
Boltzmann Softmax: Tau 1.5,500,5.133333333333334,3.933333333333333,2.4162150645369382,0.9611501047232549
Random,500,5.066666666666666,3.2,2.433887738538802,1.2071217242444348
