Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,10000,4.2,14.8,2.7748873851023217,1.7888543819998315
Mixed Suboptimal,10000,7.0,15.533333333333333,4.157609203101499,2.325838302531758
Mixed Random,10000,5.733333333333333,16.8,4.3006090377106005,3.211586167968363
Epsilon-greedy,10000,7.6,17.8,4.306141793166725,2.624064459138586
Boltzmann Softmax: Tau 0.5,10000,4.666666666666667,15.8,3.5186577527449843,2.2103651928390216
Boltzmann Softmax: Tau 1.5,10000,3.4,15.866666666666667,2.7723120830300267,3.356585566713094
Random,10000,3.0,13.933333333333334,2.8284271247461903,2.987274597992211
