IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
9.0,9.0,Expert,372,5000,0
7.0,13.0,Mixed Suboptimal,5295,5000,0
6.0,14.0,Mixed Random,3280,5000,0
9.0,15.0,Epsilon-greedy,6607,5000,0
10.0,15.0,Boltzmann Softmax: Tau 0.5,17730,5000,0
5.0,10.0,Boltzmann Softmax: Tau 1.5,28619,5000,0
7.0,13.0,Random,32323,5000,0
5.0,11.0,Mixed Suboptimal,37605,5000,0
7.0,16.0,Mixed Random,35766,5000,0
9.0,14.0,Epsilon-greedy,38906,5000,0
9.0,16.0,Boltzmann Softmax: Tau 0.5,49702,5000,0
2.0,12.0,Boltzmann Softmax: Tau 1.5,60737,5000,0
2.0,13.0,Random,64480,5000,0
5.0,19.0,Mixed Suboptimal,69612,5000,0
5.0,17.0,Mixed Random,67689,5000,0
3.0,19.0,Epsilon-greedy,70873,5000,0
1.0,19.0,Boltzmann Softmax: Tau 0.5,81661,5000,0
4.0,14.0,Boltzmann Softmax: Tau 1.5,92730,5000,0
4.0,16.0,Random,96473,5000,0
5.0,10.0,Expert,372,5000,4219
10.0,15.0,Mixed Suboptimal,5295,5000,4219
11.0,12.0,Mixed Random,3280,5000,4219
15.0,17.0,Epsilon-greedy,6607,5000,4219
6.0,12.0,Boltzmann Softmax: Tau 0.5,17730,5000,4219
7.0,12.0,Boltzmann Softmax: Tau 1.5,28619,5000,4219
3.0,10.0,Random,32323,5000,4219
8.0,15.0,Mixed Suboptimal,37605,5000,4219
4.0,13.0,Mixed Random,35766,5000,4219
3.0,17.0,Epsilon-greedy,38906,5000,4219
2.0,15.0,Boltzmann Softmax: Tau 0.5,49702,5000,4219
5.0,17.0,Boltzmann Softmax: Tau 1.5,60737,5000,4219
2.0,16.0,Random,64480,5000,4219
5.0,19.0,Mixed Suboptimal,69612,5000,4219
0.0,16.0,Mixed Random,67689,5000,4219
5.0,16.0,Epsilon-greedy,70873,5000,4219
7.0,16.0,Boltzmann Softmax: Tau 0.5,81661,5000,4219
1.0,15.0,Boltzmann Softmax: Tau 1.5,92730,5000,4219
1.0,14.0,Random,96473,5000,4219
7.0,8.0,Expert,372,5000,17333
9.0,13.0,Mixed Suboptimal,5295,5000,17333
8.0,12.0,Mixed Random,3280,5000,17333
12.0,17.0,Epsilon-greedy,6607,5000,17333
5.0,14.0,Boltzmann Softmax: Tau 0.5,17730,5000,17333
6.0,13.0,Boltzmann Softmax: Tau 1.5,28619,5000,17333
6.0,11.0,Random,32323,5000,17333
3.0,17.0,Mixed Suboptimal,37605,5000,17333
3.0,14.0,Mixed Random,35766,5000,17333
6.0,15.0,Epsilon-greedy,38906,5000,17333
2.0,17.0,Boltzmann Softmax: Tau 0.5,49702,5000,17333
7.0,17.0,Boltzmann Softmax: Tau 1.5,60737,5000,17333
0.0,14.0,Random,64480,5000,17333
8.0,15.0,Mixed Suboptimal,69612,5000,17333
3.0,17.0,Mixed Random,67689,5000,17333
5.0,16.0,Epsilon-greedy,70873,5000,17333
4.0,19.0,Boltzmann Softmax: Tau 0.5,81661,5000,17333
1.0,18.0,Boltzmann Softmax: Tau 1.5,92730,5000,17333
2.0,13.0,Random,96473,5000,17333
5.0,10.0,Expert,372,5000,39779
7.0,17.0,Mixed Suboptimal,5295,5000,39779
7.0,10.0,Mixed Random,3280,5000,39779
7.0,18.0,Epsilon-greedy,6607,5000,39779
5.0,15.0,Boltzmann Softmax: Tau 0.5,17730,5000,39779
9.0,12.0,Boltzmann Softmax: Tau 1.5,28619,5000,39779
6.0,12.0,Random,32323,5000,39779
5.0,15.0,Mixed Suboptimal,37605,5000,39779
3.0,14.0,Mixed Random,35766,5000,39779
6.0,13.0,Epsilon-greedy,38906,5000,39779
5.0,15.0,Boltzmann Softmax: Tau 0.5,49702,5000,39779
8.0,19.0,Boltzmann Softmax: Tau 1.5,60737,5000,39779
6.0,10.0,Random,64480,5000,39779
3.0,16.0,Mixed Suboptimal,69612,5000,39779
4.0,16.0,Mixed Random,67689,5000,39779
2.0,15.0,Epsilon-greedy,70873,5000,39779
2.0,17.0,Boltzmann Softmax: Tau 0.5,81661,5000,39779
0.0,14.0,Boltzmann Softmax: Tau 1.5,92730,5000,39779
0.0,18.0,Random,96473,5000,39779
6.0,10.0,Expert,372,5000,44987
10.0,11.0,Mixed Suboptimal,5295,5000,44987
12.0,12.0,Mixed Random,3280,5000,44987
10.0,16.0,Epsilon-greedy,6607,5000,44987
6.0,14.0,Boltzmann Softmax: Tau 0.5,17730,5000,44987
8.0,13.0,Boltzmann Softmax: Tau 1.5,28619,5000,44987
5.0,13.0,Random,32323,5000,44987
6.0,16.0,Mixed Suboptimal,37605,5000,44987
6.0,16.0,Mixed Random,35766,5000,44987
6.0,15.0,Epsilon-greedy,38906,5000,44987
5.0,11.0,Boltzmann Softmax: Tau 0.5,49702,5000,44987
3.0,13.0,Boltzmann Softmax: Tau 1.5,60737,5000,44987
3.0,13.0,Random,64480,5000,44987
2.0,18.0,Mixed Suboptimal,69612,5000,44987
1.0,15.0,Mixed Random,67689,5000,44987
6.0,14.0,Epsilon-greedy,70873,5000,44987
8.0,16.0,Boltzmann Softmax: Tau 0.5,81661,5000,44987
1.0,16.0,Boltzmann Softmax: Tau 1.5,92730,5000,44987
1.0,16.0,Random,96473,5000,44987
