IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
7.0,8.0,Expert,372,500,0
11.0,12.0,Mixed Suboptimal,5295,500,0
5.0,6.0,Mixed Random,3280,500,0
11.0,18.0,Epsilon-greedy,6607,500,0
15.0,8.0,Boltzmann Softmax: Tau 0.5,17730,500,0
9.0,4.0,Boltzmann Softmax: Tau 1.5,28619,500,0
4.0,2.0,Random,32323,500,0
10.0,6.0,Mixed Suboptimal,37605,500,0
9.0,6.0,Mixed Random,35766,500,0
12.0,7.0,Epsilon-greedy,38906,500,0
8.0,4.0,Boltzmann Softmax: Tau 0.5,49702,500,0
7.0,4.0,Boltzmann Softmax: Tau 1.5,60737,500,0
1.0,3.0,Random,64480,500,0
9.0,4.0,Mixed Suboptimal,69612,500,0
8.0,4.0,Mixed Random,67689,500,0
5.0,3.0,Epsilon-greedy,70873,500,0
5.0,2.0,Boltzmann Softmax: Tau 0.5,81661,500,0
11.0,4.0,Boltzmann Softmax: Tau 1.5,92730,500,0
5.0,4.0,Random,96473,500,0
5.0,9.0,Expert,372,500,4219
8.0,14.0,Mixed Suboptimal,5295,500,4219
8.0,11.0,Mixed Random,3280,500,4219
8.0,16.0,Epsilon-greedy,6607,500,4219
7.0,9.0,Boltzmann Softmax: Tau 0.5,17730,500,4219
7.0,5.0,Boltzmann Softmax: Tau 1.5,28619,500,4219
6.0,3.0,Random,32323,500,4219
7.0,5.0,Mixed Suboptimal,37605,500,4219
9.0,4.0,Mixed Random,35766,500,4219
9.0,5.0,Epsilon-greedy,38906,500,4219
11.0,4.0,Boltzmann Softmax: Tau 0.5,49702,500,4219
6.0,4.0,Boltzmann Softmax: Tau 1.5,60737,500,4219
5.0,3.0,Random,64480,500,4219
8.0,7.0,Mixed Suboptimal,69612,500,4219
3.0,4.0,Mixed Random,67689,500,4219
8.0,4.0,Epsilon-greedy,70873,500,4219
7.0,4.0,Boltzmann Softmax: Tau 0.5,81661,500,4219
7.0,2.0,Boltzmann Softmax: Tau 1.5,92730,500,4219
8.0,0.0,Random,96473,500,4219
6.0,5.0,Expert,372,500,17333
11.0,10.0,Mixed Suboptimal,5295,500,17333
5.0,11.0,Mixed Random,3280,500,17333
13.0,14.0,Epsilon-greedy,6607,500,17333
12.0,5.0,Boltzmann Softmax: Tau 0.5,17730,500,17333
10.0,4.0,Boltzmann Softmax: Tau 1.5,28619,500,17333
4.0,1.0,Random,32323,500,17333
8.0,5.0,Mixed Suboptimal,37605,500,17333
10.0,4.0,Mixed Random,35766,500,17333
13.0,5.0,Epsilon-greedy,38906,500,17333
15.0,4.0,Boltzmann Softmax: Tau 0.5,49702,500,17333
2.0,4.0,Boltzmann Softmax: Tau 1.5,60737,500,17333
12.0,4.0,Random,64480,500,17333
8.0,3.0,Mixed Suboptimal,69612,500,17333
6.0,3.0,Mixed Random,67689,500,17333
13.0,3.0,Epsilon-greedy,70873,500,17333
7.0,4.0,Boltzmann Softmax: Tau 0.5,81661,500,17333
3.0,5.0,Boltzmann Softmax: Tau 1.5,92730,500,17333
3.0,4.0,Random,96473,500,17333
6.0,8.0,Expert,372,500,39779
9.0,16.0,Mixed Suboptimal,5295,500,39779
4.0,10.0,Mixed Random,3280,500,39779
10.0,13.0,Epsilon-greedy,6607,500,39779
9.0,6.0,Boltzmann Softmax: Tau 0.5,17730,500,39779
4.0,4.0,Boltzmann Softmax: Tau 1.5,28619,500,39779
6.0,4.0,Random,32323,500,39779
7.0,7.0,Mixed Suboptimal,37605,500,39779
11.0,5.0,Mixed Random,35766,500,39779
11.0,5.0,Epsilon-greedy,38906,500,39779
9.0,6.0,Boltzmann Softmax: Tau 0.5,49702,500,39779
3.0,5.0,Boltzmann Softmax: Tau 1.5,60737,500,39779
2.0,5.0,Random,64480,500,39779
7.0,4.0,Mixed Suboptimal,69612,500,39779
5.0,5.0,Mixed Random,67689,500,39779
8.0,2.0,Epsilon-greedy,70873,500,39779
7.0,4.0,Boltzmann Softmax: Tau 0.5,81661,500,39779
5.0,5.0,Boltzmann Softmax: Tau 1.5,92730,500,39779
5.0,3.0,Random,96473,500,39779
3.0,8.0,Expert,372,500,44987
11.0,14.0,Mixed Suboptimal,5295,500,44987
7.0,12.0,Mixed Random,3280,500,44987
13.0,20.0,Epsilon-greedy,6607,500,44987
8.0,6.0,Boltzmann Softmax: Tau 0.5,17730,500,44987
6.0,5.0,Boltzmann Softmax: Tau 1.5,28619,500,44987
6.0,3.0,Random,32323,500,44987
8.0,8.0,Mixed Suboptimal,37605,500,44987
6.0,6.0,Mixed Random,35766,500,44987
9.0,5.0,Epsilon-greedy,38906,500,44987
9.0,6.0,Boltzmann Softmax: Tau 0.5,49702,500,44987
6.0,3.0,Boltzmann Softmax: Tau 1.5,60737,500,44987
9.0,1.0,Random,64480,500,44987
6.0,5.0,Mixed Suboptimal,69612,500,44987
10.0,5.0,Mixed Random,67689,500,44987
6.0,4.0,Epsilon-greedy,70873,500,44987
5.0,5.0,Boltzmann Softmax: Tau 0.5,81661,500,44987
8.0,4.0,Boltzmann Softmax: Tau 1.5,92730,500,44987
10.0,5.0,Random,96473,500,44987
